"","ortho","Gender","phon","Freq"
"1","A","N","a",563
"2","Aal","M","al",80
"3","Aar","M","ar",2
"4","Aas","N","as",6
"5","Aasgeier","M","asgW@r",2
"6","Abaenderung","F","&pEnd@rUN",17
"7","Abart","F","&part",7
"8","Abbau","M","&pbB",87
"9","Abberufung","F","&pb@rufUN",26
"10","Abbestellung","F","&pb@StElUN",1
"11","Abbild","N","&pbIlt",21
"12","Abbildung","F","&pbIldUN",85
"13","Abbitte","F","&pbIt@",2
"14","Abblendlicht","N","&pblEntlIxt",3
"15","Abbrand","M","&pbr&nt",1
"16","Abbruch","M","&pbrUx",66
"17","Abbrucharbeit","F","&pbrUx&rbWt",4
"18","Abdachung","F","&pd&xUN",1
"19","Abdankung","F","&pd&NkUN",2
"20","Abdichtung","F","&pdIxtUN",3
"21","Abdruck","M","&pdrUk",16
"22","Abend","M","ab@nt",790
"23","Abendanzug","M","ab@nt&n=uk",2
"24","Abendbrot","N","ab@ntbrot",20
"25","Abenddaemmerung","F","ab@ntdEm@rUN",4
"26","Abendessen","N","ab@ntEs@n",45
"27","Abendgymnasium","N","ab@ntgYmnaziUm",2
"28","Abendkleid","N","ab@ntklWt",10
"29","Abendkurs","M","ab@ntkUrs",3
"30","Abendkursus","M","ab@ntkUrzUs",3
"31","Abendlaender","M","ab@ntlEnd@r",52
"32","Abendland","N","ab@ntl&nt",162
"33","Abendmahl","N","ab@ntmal",3
"34","Abendprogramm","N","ab@ntprogr&m",2
"35","Abendroete","F","ab@ntrTt@",5
"36","Abendrot","N","ab@ntrot",4
"37","Abenteuer","N","ab@ntX@r",132
"38","Abenteuerin","F","ab@ntX@rIn",4
"39","Abenteuerlust","F","ab@ntX@rlUst",4
"40","Abenteurer","M","ab@ntXr@r",20
"41","Aberglaube","M","ab@rglBb@",15
"42","Aberglauben","M","ab@rglBb@n",11
"43","Aberkennung","F","&pErkEnUN",2
"44","Aberwitz","M","ab@rvI=",1
"45","Abfahrt","F","&pfart",57
"46","Abfahrtszeit","F","&pfar==Wt",3
"47","Abfall","M","&pf&l",56
"48","Abfalleimer","M","&pf&lWm@r",2
"49","Abfallprodukt","N","&pf&lprodUkt",2
