X2_phon,Freq
apRijoRi,0.41
ER,13.23
akR9te,0.11
aZ,152.59
am,141.59
an,14.19
anRi,1.96
anEs,0.9
an6,0.17
atR,0.1
sa,38.19
ebEn,0.51
eba,0.41
eboS,1.33
ebluism@,0.29
ebw9R,1.93
ebulm@,0.54
ebuli,0.16
ebRijete,0.73
ebylisj6,0.79
ekajER,0.11
ekaj,1.42
ekaje,0.11
ekaRlat,0.13
ekaR,14.71
ekaRt9le,0.14
ekaRt9R,0.27
esERv9le,0.91
esERv9le,0.91
eSe@s,2.47
eSafo,0.85
eSafodaZ,0.86
eSala,0.41
eSalOt,1.3
eS@Z,32.77
eS@Z9R,0.3
eS@Zizm,0.16
eS@tij6,16.87
eS@tijonaZ,0.41
eSape,0.12
eSape,0.43
eSapatwaR,1.96
eSapm@,2.03
eSaRd,0.62
eSaRp,5.14
eSas,0.42
eSofm@,0.66
eSofuRe,0.32
eSEk,24.31
eSEl,14.09
eSl6,1.48
ESvo,0.17
ESv5,0.48
eSin,1.18
eSikje,0.75
eko,6.65
ekogRafi,1.39
eSOp,0.2
eklabusyR,1.98
eklER,11.25
eklERaZ,4.34
eklERsi,0.11
eklERsism@,0.94
eklER,0.23
eklERm@,0.14
eklER9R,3.67
eklER2z,3.67
ekl@psi,0.1
ekla,14.28
eklatm@,0.41
eklips,1.7
eklope,0.46
eklope,0.46
eklozj6,0.13
eklyz,0.6
ek9Rm@,0.14
ekOl,206.88
ekoljER,3.32
ekolje,3.32
ekoloZi,0.41
ekoloZist,0.5
ekonomi,16.97
ekORs,1.9
ekORSe,0.25
ekORSe,0.25
ekORS9Ri,0.1
ekORSyR,1.02
ekosE,1.5
ekosEz,1.5
ekosistEm,0.63
eko,0.48
ekulm@,0.79
ekut@,0.12
ekut,24.73
ekut9R,1.34
ekut2z,1.34
ekutij,2.22
ekuvij6,0.26
ekR@,23.68
ekRazm@,0.19
ekRaz9R,0.19
ekR9vis,1.06
ekR5,0.37
ekRi,10.67
ekRito,2.25
ekRitwaR,0.41
ekRityR,13.65
ekRiv5,24.57
ekRivEn,24.57
ekRiv9R,0.14
ekRu,0.72
ekRulm@,0.32
eky,1.75
ek9j,0.26
ek8El,1.09
ekym,2.31
ekym9R,0.27
ekym2z,0.27
ekymwaR,0.3
ekyR9j,7.22
ekyRi,6.88
ekys6,0.37
ek8ijER,1.56
ek8ije,1.56
edEn,0.42
ed@te,0.16
ed@te,0.16
edikyl,0.4
edifikasj6,0.38
edifis,3.25
edi,0.35
edit9R,8.5
edisj6,9.61
edito,0.16
editoRjal,0.57
editoRjo,0.57
editRis,8.5
edR9d6,0.59
edykat9R,1.05
edykasj6,20.48
edykatRis,1.05
eZeRi,0.46
egal,5.65
egalite,6.99
egaR,9.19
egaRm@,1.04
ego,5.65
eZid,0.2
egl@tin,0.96
egliz,64.75
eglOg,0.1
egoizm,2.15
egos@tRizm,0.23
egORZ9R,0.2
egORZ2z,0.2
egotizm,0.16
egu,7.01
egutwaR,0.14
egRatiNyR,4.86
egR9n2z,0.44
eZipsj5,1.23
eZipsjEn,1.23
eZakylat9R,0.16
eZakylasj6,1.4
eZEkt9R,0.1
eZEksj6,0.44
eleg@s,4.17
eleg@,0.59
eleg@t,0.59
eleZi,0.15
elem@,24.03
elef@,15.36
elef@t,15.36
elevat9R,0.28
elevasj6,0.33
elaboRasj6,0.23
el@,5.66
el@sm@,0.13
elaRZism@,0.17
elastisite,0.3
elastik,2.12
elEkt9R,3.54
elEksj6,17.17
elEktoRa,0.24
elEktRis,3.54
elEktRisj5,2.79
elEktRisjEn,2.79
elEktRisite,15.76
elEktRo@sefalogRam,0.16
elEktRokaRdiogRam,0.25
elEktRoSOk,3.14
elEktRokysj6,0.4
elEktROd,0.87
elEktRolit,0.35
elEktRomenaZe,0.26
elEktRomaNetizm,0.11
elEktR6,1.28
elEktRonik,1.52
elEktRofOn,0.28
elEktROm,0.27
ElvaZ,3.15
Elv9R,1.82
elv2z,1.82
eliminasj6,1.55
eliminatwaR,0.32
elit,7.38
elitizm,0.16
eliksiR,1.56
elokysj6,0.84
elOZ,2.62
elwaNm@,1.12
