X2_phon,Freq
ER,13.23
akR9te,0.11
am,141.59
anRi,1.96
anEs,0.9
ebEn,0.51
eboS,1.33
ebRijete,0.73
ebylisj6,0.79
ekajER,0.11
ekaj,1.42
ekaRlat,0.13
esERv9le,0.91
eSe@s,2.47
eSalOt,1.3
eSape,0.43
eSapatwaR,1.96
eSaRd,0.62
eSaRp,5.14
eSas,0.42
eSofuRe,0.32
eSEl,14.09
eSin,1.18
ekogRafi,1.39
eSOp,0.2
eklabusyR,1.98
eklERsi,0.11
eklER,0.23
eklER2z,3.67
ekl@psi,0.1
eklips,1.7
eklope,0.46
eklozj6,0.13
eklyz,0.6
ekOl,206.88
ekoljER,3.32
ekoloZi,0.41
ekonomi,16.97
ekORs,1.9
ekORSe,0.25
ekORS9Ri,0.1
ekORSyR,1.02
ekosEz,1.5
ekut,24.73
ekut2z,1.34
ekutij,2.22
ekR9vis,1.06
ekRitwaR,0.41
ekRityR,13.65
ekRivEn,24.57
ek8El,1.09
ekym,2.31
ekym2z,0.27
ekymwaR,0.3
ekyRi,6.88
ek8ijER,1.56
ed@te,0.16
edifikasj6,0.38
edisj6,9.61
editRis,8.5
edykasj6,20.48
edykatRis,1.05
eZeRi,0.46
egalite,6.99
eZid,0.2
egl@tin,0.96
egliz,64.75
eglOg,0.1
egORZ2z,0.2
egRatiNyR,4.86
egR9n2z,0.44
eZipsjEn,1.23
eZakylasj6,1.4
eZEksj6,0.44
eleg@s,4.17
eleg@t,0.59
eleZi,0.15
elef@t,15.36
elevasj6,0.33
elaboRasj6,0.23
elastisite,0.3
elEksj6,17.17
elEktRis,3.54
elEktRisjEn,2.79
elEktRisite,15.76
elEktRokysj6,0.4
elEktROd,0.87
elEktRonik,1.52
elv2z,1.82
eliminasj6,1.55
eliminatwaR,0.32
elit,7.38
elokysj6,0.84
elok@s,1.3
elykybRasj6,0.18
emanasj6,0.78
em@sipasj6,1.12
EmRod,2.77
emERZ@s,0.49
em2t,6.75
emigRe,0.91
emigR@t,0.5
emigRasj6,0.6
emin@s,1.19
emisj6,32.31
emosj6,26.33
emotivite,0.15
emylsj6,0.24
enERZi,43.06
enigm,7.29
enORmite,0.38
enymeRasj6,0.2
eoljEn,0.14
epe,32.81
epitR,0.4
epaN9l,0.27
epEs9R,2.16
epaRN,3.13
epat,0.19
epol,32.41
epolEt,0.81
epav,7.5
epis,3.06
episRi,6.79
episjER,2.81
epidemi,9.05
epidemjoloZi,0.14
epilasj6,0.53
epilEpsi,1.89
epin,5.81
ep5gl,5.57
epifani,0.23
epifiz,0.16
epitaf,0.72
epitEt,0.17
eplySyR,0.23
ep6Z,7.11
epope,1.2
epOk,68.44
epuze,0.14
epuzaj,0.29
epuz,65.34
epuv@t,1.93
epR9v,23.43
epRuvEt,0.59
ep8izEt,0.51
epyRasj6,0.46
epyR,0.28
ekwasj6,3.5
ekER,0.2
ek8idist@s,0.11
ekipe,0.18
ekip,129.97
ekipjER,4.34
ekite,0.79
ekitasj6,1.14
ekival@s,0.22
ekivOk,0.78
eRadikasj6,0.31
eRaflyR,1.75
eREksj6,3.56
eRozj6,0.34
eRydit,1.43
eRydisj6,0.4
eRypsj6,3.73
etabl,5.37
etaZER,5.06
et@Seite,0.13
etap,15.77
et@dy,3.96
etERnEl,1.45
etERnite,18.2
etik,4.56
etoloZi,0.11
et5sEl,6.3
etikEt,7.38
etOf,3.1
etwal,54.63
etOl,0.29
etufe,0.17
etuRd9Ri,0.3
etuRdi,0.73
etR@ZER,59.32
etR@Zte,0.39
etR@gl2z,0.66
etR5t,2.75
etREn,0.17
etRwatEs,0.36
etyd,44.22
etydj@t,38.07
etyv,0.43
evak8e,0.3
evak8asj6,6.3
evade,1.76
eval8asj6,3.91
evapoRasj6,0.38
evazj6,9.69
ev@t8alite,2.47
evid@s,11.47
eviseRasj6,0.22
evokasj6,0.55
evol8e,0.22
evolysj6,8.09
il,58.35
aj9l,3.13
aeRasj6,2.02
aeRodinamik,0.2
aeRogaR,0.12
aeRonotik,0.58
aeRonaval,0.48
aeRofaZi,0.15
aeRospasjal,0.12
ene,8.92
abei,3.94
abEs,4.46
abEj,9.11
abERasj6,1.16
abZEksj6,0.51
ablasj6,0.45
ablEt,0.14
ablysj6,0.48
abnegasj6,0.91
abolisj6,0.45
abominasj6,1.94
ab6d@s,2.76
abone,0.87
abRevjasj6,0.46
abRazj6,0.19
abRogasj6,0.16
abRyti,25.64
aps@s,22.86
aps@t,1.96
aps5t,1.28
apsolysj6,1.06
apsORpsj6,0.58
apst@sj6,0.14
apstin@s,1.62
apstRaksj6,0.68
apsyRdite,2.34
asetOn,0.21
asetilkolin,0.25
akademi,10.03
akseleRasj6,1.5
akalmi,0.5
aksEptasj6,1.24
aksEpsj6,0.15
aksEsj6,0.16
aksid@te,0.57
aklamasj6,2.84
aklimatasj6,0.14
akw5t@s,0.14
akolad,0.96
ak6paNatRis,0.8
akORde,2.58
akuSe,0.39
akuS2z,0.19
akutym@s,0.3
akReditasj6,0.27
akROS,0.65
akymylasj6,0.67
akyze,13.74
akyzasj6,19.72
akyzatRis,0.35
aSt2z,6.57
asjeRi,2.21
asidite,0.29
asidoz,0.22
akne,1.9
akustik,0.57
akizisj6,2.15
akR,0.83
akRobasi,0.81
aksj6,69.27
aktivasj6,2.27
aktivite,23.47
aktRis,74.77
akt8alite,3.25
ak8ite,0.56
akyp6ktyR,0.17
akyp6ktyR,0.79
adekwasj6,0.14
adaptabilite,0.16
adaptasj6,2.48
adiksj6,0.41
adisj6,8.61
adeR@s,0.11
adezj6,0.5
adZw5t,9.42
adZydikasj6,0.37
administRe,0.47
administRasj6,13.4
administRativ,0.11
administRatRis,4.95
admiRasj6,4.54
admiRatRis,5.64
admisj6,3.42
admonisj6,0.12
adoles@s,2.88
adoles@t,6.84
adOpsj6,4.06
adoRasj6,0.88
adoRatRis,1.34
adRenalin,3.57
adREs,73.92
adylasj6,0.16
adv@tist,0.27
advERsite,1.3
afabilite,0.13
afabylasj6,0.22
afabylatRis,0.14
afER,393.83
afame,3.39
afEktasj6,2.93
afEksj6,13.06
afiS,9.78
afiSEt,0.26
afilje,0.14
afiljasj6,0.33
afinite,1.23
afiRmasj6,1.96
afiRmativ,0.16
afliksj6,1.27
afly@s,0.51
afR@Si,1.34
afR,1.23
afgan,1.12
afRikEn,2.28
afRoameRikEn,0.95
aZ@s,23.15
aZ@t,117.9
aglomeRasj6,0.12
agRavasj6,0.45
aZilite,1
aZitpROp,0.1
aZite,0.72
aZitasj6,4.73
aZitatRis,1.72
aNEl,0.14
agoni,4.68
agoniz@t,0.23
agoRafobi,0.23
agReg,0.14
agReZe,0.32
agRegasj6,0.29
agRaf,0.86
agRaf2z,0.79
agREsj6,12.91
agResj6,12.91
agResivite,2.54
agRikyltRis,1.06
agRikyltyR,3.39
ayRi,0.41
EdswaN@t,0.4
EgREt,0.72
EgR9R,0.56
egRi,0.4
eg8ij,14.34
El,33.45
En,0.64
En,0.4
ER,5.54
EREl,1.12
Ez@s,1.5
Ez,32.73
EsEl,1.29
alEn,0.24
alaRm,19.29
alaRmist,0.14
albanEz,0.36
albymin,0.19
alkov,0.84
alSimi,1.05
alkolemi,0.58
al,2.1
alERt,13.45
alZEbR,1.37
alZeRjEn,0.79
alZi,0.27
alg,2.66
aljene,2.28
aljenasj6,1.19
alim,0.21
alim@tasj6,5.64
ale,12.17
alegasj6,1.87
aleZ@s,1.64
alegoRi,0.41
alegREs,2.36
alm@d,49.08
alERZi,5
alERgOlOZi,0.14
ale,17.78
alje,11.64
alj@s,18.85
alOk,0.59
alokasj6,3.16
alo,0.59
alokysj6,0.33
al6Z,0.48
alOpati,0.14
alyme,1.28
alymEt,15.65
alym2z,1.49
alyR,10.57
alyzj6,4.72
alyvj6,0.16
alma,0.86
alwEt,1.41
alp,0.14
alfabetizasj6,0.3
alstonja,0.14
alteRasj6,0.64
altERkasj6,1.2
altERn@s,0.2
altERnativ,5.89
altEs,12.93
altityd,6.39
alyd,0.14
ameljoRasj6,2.87
amenoRe,0.28
ameRikEn,45.64
ameR5djEn,0.14
ameRik,0.34
ametist,0.22
amabilite,2.91
am@d,2.19
amanit,0.1
am@t,1.55
amaR,1.66
amatRis,11.66
amazon,0.55
@baZ,0.29
@basad,9.49
@basadRis,13.85
@bj@s,12.37
@bidEkstR,0.2
@big8ite,0.52
@bisj2z,0.5
@bisj6,11.15
@bival@s,0.28
@bRwazi,0.51
@byl@s,27.55
@byl@sjER,1.64
am@d,9.37
amERtym,4.64
amib,0.4
ami,747.98
amiRote,0.22
amitje,36.69
amonjak,0.4
amonit,0.4
amnezi,3.74
amnjos5tEz,0.38
amnisti,2.93
amORs,1.76
amuREt,0.66
amuR2z,17.43
@fetamin,1.13
@fOR,0.46
@pl9R,2.38
@plifikasj6,0.21
@plityd,0.29
@pul,7.66
@pytasj6,0.79
amylEt,3.08
amidal,1.5
amidalEktomi,0.14
amidalit,0.23
anemi,1.31
anemOn,0.17
anakolyt,0.1
anagRam,0.6
analZezik,0.64
analoZi,0.98
analiz,23.26
anaRSi,4.18
anatomi,3.63
@S,0.17
@sjEn,25.42
@sjEnte,0.9
@kR,4.75
@daluz,0.17
@duj,6.94
@dRoid,0.82
@dRopoz,0.23
anEkdOt,2.12
anEstezi,3.74
@fRakt8ozite,0.14
@Zin,1.39
@ZjOgRafi,0.32
@Zjoplasti,0.19
@glEz,51.01
@gl2tER,0.2
@gwase,0.16
@gwas,17.82
@gij,4.32
anikROS,0.12
animalRi,0.42
animasj6,1.53
animatRis,2.72
animozite,1.09
anizEt,0.15
@kiloz,0.12
ane,316.25
anelymjER,1.16
anal,0.78
anEks,1.36
anEksj6,0.37
aniilasj6,0.46
an6s,23.76
an6s2z,0.58
anotasj6,0.25
anylasj6,2.46
anomali,3.96
anoREksi,0.88
anoREksik,0.25
anORmal,1.33
anORmalite,0.2
@s,0.47
@t,1.12
@tEn,11.59
@toloZi,0.48
@tRopoloZi,0.78
@tRopofaZi,0.11
@tib6b,0.1
@tidul9R,0.46
@tidROg,0.42
@timeteoRit,0.2
@timit,0.1
@tipys,0.14
@titaS,0.15
@tiS@bR,0.89
@tisipasj6,0.63
@tig@g,0.12
@tiZEl,0.2
@tigRip,0.16
@tijEz,0.14
@tilOp,0.88
@timatjER,0.13
@tipati,0.71
@tikaj,0.14
@tikite,4.92
@titEz,0.11
@tivOl,0.3
@ksjete,3.06
@ksj2z,0.49
aORt,1.16
apati,0.91
ap9z@t9R,0.93
afazi,0.2
afRodizjak,1.27
apikyltRis,0.1
apne,0.6
apokalips,4.87
apoloZi,0.17
apoplEksi,0.33
apostat,0.46
apostROf,0.15
apoteoz,0.49
apaR@s,17.64
apaRisj6,8.02
apaRt9n@s,1.83
apelasj6,0.36
ap5disektomi,0.25
ap5disit,1.75
aplikasj6,2.81
aplik,0.21
apResjasj6,0.94
apRe@sj6,1.28
apR@ti,2.52
apRobasj6,2.56
apROS,28.03
apRopRijasj6,0.19
apROksimasj6,0.24
apREm,0.22
aptityd,2.74
akwaREl,0.23
akwat5t,0.1
aREn,2.5
aREt,1.6
aRabEsk,0.1
aRaSid,0.51
aRENe,18.2
aRbalEt,0.55
aRbuz,0.1
aRkad,1.25
aRSER,3.77
aRkeoloZi,1.42
aRS,3.19
aRSidySEs,0.48
aRSitEkt,9.98
aRSitEktOni,0.14
aRSitEktyR,4.07
aRSiv,9.42
aRd9nEz,0.2
aRd9R,7.08
aRdwaz,3.45
aRea,0.12
aRZ@tRi,3.11
aRZ@tin,1.83
aRZil,4.26
aRgym@tasj6,0.54
aRidite,0.14
aRistokRasi,1.6
aRitmetik,0.57
aRme,101.07
aRmada,1.05
aRmatyR,0.77
aRm,220.22
aRmmiRakl,0.1
aRmwaR,9.79
aRmwaRi,0.36
aRmwaz,0.38
aRmyR,5.46
aRmyRRi,0.94
aRnak,6.27
aRnak2z,1.47
aRObaz,0.14
aRomateRapi,0.18
aRk9byz,0.41
aRaS2z,0.34
aREstasj6,20.59
aR,0.3
aRjERbutik,0.31
aRjERkuR,0.45
aRjERgaRd,0.47
aRjERgR@mER,0.85
aRjERp@se,0.91
aRjERp9titfij,0.13
aRjERsal,0.28
aRjeRe,0.79
aRive,42.66
aRiv@t,0.48
