X2_phon,Freq
apRijoRi,0.41
aZ,152.59
an,14.19
an6,0.17
atR,0.1
sa,38.19
eba,0.41
ebluism@,0.29
ebw9R,1.93
ebulm@,0.54
ebuli,0.16
ekaje,0.11
ekaR,14.71
ekaRt9le,0.14
ekaRt9R,0.27
esERv9le,0.91
eSafo,0.85
eSafodaZ,0.86
eSala,0.41
eS@Z,32.77
eS@Z9R,0.3
eS@Zizm,0.16
eS@tij6,16.87
eS@tijonaZ,0.41
eSape,0.12
eSapm@,2.03
eSofm@,0.66
eSEk,24.31
eSl6,1.48
ESvo,0.17
ESv5,0.48
eSikje,0.75
eko,6.65
eklER,11.25
eklERaZ,4.34
eklERsism@,0.94
eklERm@,0.14
eklER9R,3.67
ekla,14.28
eklatm@,0.41
eklope,0.46
ek9Rm@,0.14
ekolje,3.32
ekoloZist,0.5
ekORSe,0.25
ekosE,1.5
ekosistEm,0.63
eko,0.48
ekulm@,0.79
ekut@,0.12
ekut9R,1.34
ekuvij6,0.26
ekR@,23.68
ekRazm@,0.19
ekRaz9R,0.19
ekR5,0.37
ekRi,10.67
ekRito,2.25
ekRiv5,24.57
ekRiv9R,0.14
ekRu,0.72
ekRulm@,0.32
eky,1.75
ek9j,0.26
ekym9R,0.27
ekyR9j,7.22
ekys6,0.37
ek8ije,1.56
edEn,0.42
ed@te,0.16
edikyl,0.4
edifis,3.25
edi,0.35
edit9R,8.5
edito,0.16
editoRjal,0.57
editoRjo,0.57
edR9d6,0.59
edykat9R,1.05
egal,5.65
egaR,9.19
egaRm@,1.04
ego,5.65
egoizm,2.15
egos@tRizm,0.23
egORZ9R,0.2
egotizm,0.16
egu,7.01
egutwaR,0.14
eZipsj5,1.23
eZakylat9R,0.16
eZEkt9R,0.1
eleg@,0.59
elem@,24.03
elef@,15.36
elevat9R,0.28
el@,5.66
el@sm@,0.13
elaRZism@,0.17
elastik,2.12
elEkt9R,3.54
elEktoRa,0.24
elEktRisj5,2.79
elEktRo@sefalogRam,0.16
elEktRokaRdiogRam,0.25
elEktRoSOk,3.14
elEktRolit,0.35
elEktRomenaZe,0.26
elEktRomaNetizm,0.11
elEktR6,1.28
elEktRofOn,0.28
elEktROm,0.27
ElvaZ,3.15
Elv9R,1.82
elitizm,0.16
eliksiR,1.56
elOZ,2.62
elwaNm@,1.12
ely,4.41
elize,0.16
emetik,0.14
emaj,0.57
emo,0.57
EmRi,0.16
emERvEjm@,0.58
emet9R,3.35
em2tje,0.26
emigRe,0.91
emigR@,0.5
em5se,0.15
emiR,0.86
emisER,2.03
emwa,1.71
emotif,0.16
enERv9m@,0.34
en6se,0.64
eolj5,0.14
epaN9l,0.27
ep@Sm@,0.14
ep@daZ,0.11
epanwism@,0.62
epaRN@,0.17
epolaR,0.28
epR6,1.07
epERvje,0.27
efEb,0.21
efemER,0.2
epi,1.61
epis@tR,0.53
episje,2.81
epidERm,0.46
epj2,0.44
epigon,0.2
epilOg,0.29
epinaR,1.91
epizOd,17.32
epitEt,0.17
epiteljOm,0.19
epuz9R,0.4
epuv@taj,2.31
epu,65.34
ep8izm@,1.94
epyRat9R,0.15
ekwat9R,0.38
ekilibRaZ,0.17
ekilibR,10.66
ekinOks,0.44
ekipaZ,19.91
ekipm@,12.82
ekipje,4.34
ekival@,2.45
eRabl,1.15
eRos,0.33
eRotizm,1.64
eRydi,1.43
eRitEm,0.17
ezoteRizm,0.23
ete,67.27
etabli,0.39
etablism@,7.59
etaZ,46.45
etE,0.28
et5,1.19
etal,0.56
etalaZ,2.22
etalm@,0.14
etal6,6.2
etalonaZ,0.45
et@Sm@,0.2
et@,7.1
eta,145.72
etamaZOR,5.24
eto,0.75
etENwaR,0.16
et@daR,0.77
etERnEl,1.45
etERnym@,1
etanOl,0.29
etER,1.43
etilizm,0.1
et5sElm@,0.14
etiktaZ,0.12
etiRaZ,0.14
etiRm@,0.33
etOnm@,1.28
EtOnm@,1.28
etufm@,0.64
etuRdi,0.73
etuRdism@,0.81
etuRno,0.41
etR@Z,3.8
etR@Ze,59.32
etR@gl9m@,0.62
etR@gl9R,0.66
etRije,0.83
etR6,0.75
etRysk,0.12
etydj@,38.07
et8i,2.54
evEnm@,6.59
evEnm@,28.57
eveSe,0.14
evEk,5.7
evak8e,0.3
evade,1.76
ev@Zelist,1.45
ev@Zil,1.34
evanwism@,0.83
evapoRat9R,0.17
evEj,1.65
ev@,0.15
ev@taj,2.96
ev@tER,0.25
ev@tR9R,0.5
ev@t8El,0.2
evidm@,0.21
evje,3.87
evitm@,0.18
evol8e,0.22
ilo,1.2
aEd,0.11
ai,2.31
aid,0.54
aj9l,3.13
aj2,3.13
aeRobik,1.21
aeRodRom,2.2
aeRoglis9R,0.75
aeRonotik,0.58
aeRoplan,0.16
aeRopOR,33.13
aeRosOl,0.61
aeRosta,0.16
ene,8.92
EtR,100.69
EtRla,0.14
abesedER,0.18
abim,6.01
abEsm@,0.31
ab@d6,4.84
aba,0.65
abaZuR,0.51
abataZ,0.65
abatm@,0.18
abat9R,0.14
abati,0.14
abatwaR,3.16
abaty,0.53
abe,4.46
apsE,1.79
abdomEn,2.76
abdo,0.86
abe,0.25
abl,0.68
abwa,0.78
abwam@,1.79
abolisjonist,0.17
abone,0.87
abOnm@,4.82
abOR,2.22
abORdaZ,1.22
abu,5.94
abutism@,0.5
abReZe,0.12
abRakadabRa,0.98
abRazif,0.15
abRaksas,0.29
abR9vwaR,0.35
abRi,25.9
abRiko,1.24
abRyti,25.64
abRytism@,0.13
aps@,1.96
aps@teizm,0.14
apsoly,0.78
apsolytizm,0.12
apstRE,0.49
apsyRd,2.69
