"","unique.ger_fem...1.."
"1","Abaenderung"
"2","Abart"
"3","Abberufung"
"4","Abbestellung"
"5","Abbildung"
"6","Abbitte"
"7","Abbrucharbeit"
"8","Abdachung"
"9","Abdankung"
"10","Abdichtung"
"11","Abenddaemmerung"
"12","Abendroete"
"13","Abenteuerin"
"14","Abenteuerlust"
"15","Aberkennung"
"16","Abfahrt"
"17","Abfahrtszeit"
"18","Abfassung"
"19","Abfertigung"
"20","Abfindung"
"21","Abfolge"
"22","Abfuehrung"
"23","Abfuhr"
"24","Abgabe"
"25","Abgefeimtheit"
"26","Abgeklaertheit"
"27","Abgeltung"
"28","Abgeschiedenheit"
"29","Abgeschmacktheit"
"30","Abgewogenheit"
"31","Abgrenzung"
"32","Abhaengigkeit"
"33","Abhaertung"
"34","Abhaltung"
"35","Abhandlung"
"36","Abhilfe"
"37","Abiturientin"
"38","Abkapselung"
"39","Abkehr"
"40","Abkuerzung"
"41","Abkunft"
"42","Abladung"
"43","Ablage"
"44","Ablagerung"
"45","Ablehnung"
"46","Ableitung"
"47","Ablenkung"
"48","Ablieferung"
"49","Abloese"
"50","Abloesung"
"51","Abmachung"
"52","Abmagerung"
"53","Abmeldung"
"54","Abmessung"
"55","Abnahme"
"56","Abneigung"
"57","Abnormitaet"
"58","Abnuetzung"
"59","Abnutzung"
"60","Abordnung"
"61","Abrechnung"
"62","Abrede"
"63","Abreise"
"64","Abriegelung"
"65","Abruestung"
"66","Abruestungskonferenz"
"67","Abrundung"
"68","Absage"
"69","Abschaffung"
"70","Abscheulichkeit"
"71","Abschiebung"
"72","Abschirmung"
"73","Abschlagszahlung"
"74","Abschlusspruefung"
"75","Abschnuerung"
"76","Abschoepfung"
"77","Abschreibung"
"78","Abschrift"
"79","Abschussrampe"
"80","Abschwaechung"
"81","Abschweifung"
"82","Abseitigkeit"
"83","Abseitsstellung"
"84","Absendung"
"85","Absetzung"
"86","Absicht"
"87","Absichtserklaerung"
"88","Absolutheit"
"89","Absolution"
"90","Absolvierung"
"91","Absonderlichkeit"
"92","Absonderung"
"93","Absorption"
"94","Abspaltung"
"95","Absperrkette"
"96","Absperrung"
"97","Absplitterung"
"98","Absprache"
"99","Abstammung"
"100","Absteige"
"101","Abstellung"
"102","Abstempelung"
"103","Abstimmung"
"104","Abstinenz"
"105","Abstossung"
"106","Abstraktion"
"107","Abstufung"
"108","Absurditaet"
"109","Abtei"
"110","Abteilung"
"111","Abtoenung"
"112","Abtoetung"
"113","Abtragung"
"114","Abtreibung"
"115","Abtrennung"
"116","Abtretung"
"117","Aburteilung"
"118","Abwaegung"
"119","Abwaerme"
"120","Abwahl"
"121","Abwanderung"
"122","Abwandlung"
"123","Abwechslung"
"124","Abwehr"
"125","Abweichung"
"126","Abweisung"
"127","Abwendung"
"128","Abwerbung"
"129","Abwertung"
"130","Abwesenheit"
"131","Abwicklung"
"132","Abzahlung"
"133","Abzweigung"
"134","Achse"
"135","Achsel"
"136","Achselhoehle"
"137","Achselklappe"
"138","Acht"
"139","Achtlosigkeit"
"140","Achtsamkeit"
"141","Achtung"
"142","Achtzig"
"143","Addiermaschine"
"144","Addition"
"145","Adelung"
"146","Ader"
"147","Administration"
"148","Admiralitaet"
"149","Adoption"
"150","Adresse"
"151","Adressiermaschine"
"152","Aebtissin"
"153","Aehnlichkeit"
"154","Aehre"
"155","Aenderung"
"156","Aengstlichkeit"
"157","Aequivalenz"
"158","Aerztekammer"
"159","Aerztin"
"160","Aesthetik"
"161","Aeusserlichkeit"
"162","Aeusserung"
"163","Affektion"
"164","Affinitaet"
"165","Agave"
"166","Agentin"
"167","Agentur"
"168","Aggressivitaet"
"169","Agitation"
"170","Agrarpolitik"
"171","Agrarreform"
"172","Agrarwissenschaft"
"173","Agrikultur"
"174","Agronomie"
"175","Agrotechnik"
"176","Ahle"
"177","Ahndung"
"178","Ahne"
"179","Ahnengalerie"
"180","Ahnentafel"
"181","Ahnung"
"182","Ahnungslosigkeit"
"183","Akademikerin"
"184","Akazie"
"185","Akklamation"
"186","Akklimatisierung"
