Freq,phon
17,&pEnd@rUN
7,&part
26,&pb@rufUN
1,&pb@StElUN
85,&pbIldUN
2,&pbIt@
4,&pbrUx&rbWt
1,&pd&xUN
2,&pd&NkUN
3,&pdIxtUN
4,ab@ntdEm@rUN
5,ab@ntrTt@
4,ab@ntX@rIn
4,ab@ntX@rlUst
2,&pErkEnUN
57,&pfart
3,&pfar==Wt
7,&pf&sUN
28,&pfErtIgUN
10,&pfIndUN
32,&pfOlg@
1,&pfyrUN
20,&pfur
120,&pgab@
1,&pg@fWmthWt
1,&pg@klErthWt
2,&pgEltUN
6,&pg@Sid@nhWt
1,&pg@Sm&kthWt
1,&pg@vog@nhWt
31,&pgrEn=UN
62,&phENIxkWt
1,&phErtUN
10,&ph&ltUN
21,&ph&ndlUN
16,&phIlf@
2,&bituriEntIn
1,&pk&ps@lUN
28,&pker
26,&pkYr=UN
7,&pkUnft
1,&pladUN
3,&plag@
31,&plag@rUN
166,&plenUN
11,&plWtUN
19,&plENkUN
28,&plif@rUN
16,&plTz@
51,&plTzUN
70,&pm&xUN
1,&pmag@rUN
3,&pmEldUN
18,&pmEsUN
46,&pnam@
32,&pnWgUN
1,&pnOrmitAt
3,&pnY=UN
8,&pnU=UN
55,&pOrdnUN
50,&prExnUN
15,&pred@
57,&prWz@
3,&prig@lUN
111,&prYstUN
23,&prYstUNskOnferEn=
7,&prUndUN
56,&pzag@
59,&pS&fUN
2,&pSXlIxkWt
2,&pSibUN
2,&pSIrmUN
4,&pSlaks=alUN
14,&pSlUspryfUN
2,&pSnyrUN
11,&pSL+UN
182,&pSrWbUN
30,&pSrIft
8,&pSUsr&mp@
32,&pSvAxUN
6,&pSvWfUN
1,&pzWtIxkWt
1,&pzW=StElUN
2,&pzEndUN
27,&pzE=UN
427,&pzIxt
8,&pzIx=ErklArUN
5,&pzoluthWt
5,&pzolu=ion
6,&pzOlvirUN
2,&pzOnd@rlIxkWt
2,&pzOnd@rUN
5,&pzOrp=ion
4,&pSp&ltUN
1,&pSpErkEt@
11,&pSpErUN
1,&pSplIt@rUN
35,&pSprax@
15,&pSt&mUN
1,&pStWg@
3,&pStElUN
9,&pStEmp@lUN
173,&pStImUN
5,&pstinEn=
1,&pStosUN
59,&pstr&k=ion
12,&pStufUN
11,&pzUrditAt
24,&ptW
495,&ptWlUN
2,&ptTnUN
2,&ptTtUN
17,&ptragUN
25,&ptrWbUN
6,&ptrEnUN
6,&ptretUN
6,&pUrtWlUN
5,&pvAgUN
2,&pvErm@
9,&pval
15,&pv&nd@rUN
19,&pv&ndlUN
12,&pvEkslUN
160,&pver
52,&pvWxUN
4,&pvWzUN
11,&pvEndUN
2,&pvErbUN
50,&pvertUN
58,&pvez@nhWt
40,&pvIklUN
4,&p=alUN
7,&p=vWgUN
58,&ks@
30,&ks@l
6,&ks@lhTl@
1,&ks@lkl&p@
12,&xt
2,&xtlozIxkWt
1,&xtzamkWt
122,&xtUN
2,&x=Ix
2,&dirm&Sin@
9,&di=ion
1,ad@lUN
30,ad@r
15,&tminIstr&=ion
1,&tmir&litAt
6,&dOp=ion
179,&drEs@
1,&drEsirm&Sin@
13,EptIsIn
51,AnlIxkWt
15,Ar@
356,End@rUN
4,ENstlIxkWt
1,Ekviv&lEn=
4,Ar=t@k&m@r
29,Ar=tIn
26,EstetIk
6,Xs@rlIxkWt
318,Xs@rUN
1,&fEk=ion
5,&finitAt
6,&gav@
2,&gEntIn
101,&gEntur
24,&grEsivitAt
22,&git&=ion
27,&grarpolitik
11,&grarrefOrm
1,&grarvIs@nS&ft
1,&grikUltur
1,&gronomi
1,&grotExnIk
5,al@
2,andUN
7,an@
1,an@ng&l@ri
1,an@ntaf@l
131,anUN
5,anUNslozIxkWt
1,&k&demik@rIn
2,&ka=i@
5,&kl&m&=ion
2,&klim&tizirUN
2,&kOrt&rbWt
4,&kumul&=ion
2,&kur&tEs@
2,&kvizi=ion
5,&kribi
2,&krobatIk
33,&kt@nt&S@
502,&k=i@
381,&k=i@ng@zElS&ft
497,&k=ion
1,&k=ionArsfErz&mlUN
1,&k=ionsart
