"","unique.ger_masc...1.."
"1","Aal"
"2","Aar"
"3","Aasgeier"
"4","Abbau"
"5","Abbrand"
"6","Abbruch"
"7","Abdruck"
"8","Abend"
"9","Abendanzug"
"10","Abendkurs"
"11","Abendkursus"
"12","Abendlaender"
"13","Abenteurer"
"14","Aberglaube"
"15","Aberglauben"
"16","Aberwitz"
"17","Abfall"
"18","Abfalleimer"
"19","Abflug"
"20","Abfluss"
"21","Abgang"
"22","Abgesang"
"23","Abglanz"
"24","Abgott"
"25","Abgrund"
"26","Abguss"
"27","Abhang"
"28","Abholer"
"29","Abiturient"
"30","Abkoemmling"
"31","Abkomme"
"32","Abladeplatz"
"33","Ablader"
"34","Ablass"
"35","Ablauf"
"36","Ableger"
"37","Abmarsch"
"38","Abnehmer"
"39","Abonnent"
"40","Abort"
"41","Abraum"
"42","Abraxas"
"43","Abriss"
"44","Abruf"
"45","Absatz"
"46","Abscheu"
"47","Abschied"
"48","Abschiedsbesuch"
"49","Abschiedsbrief"
"50","Abschlag"
"51","Abschleppdienst"
"52","Abschluss"
"53","Abschnitt"
"54","Abschuss"
"55","Abschwung"
"56","Absender"
"57","Absolutismus"
"58","Absolvent"
"59","Absorber"
"60","Absperrhahn"
"61","Absprung"
"62","Absprunghafen"
"63","Abstand"
"64","Abstecher"
"65","Absteiger"
"66","Abstellraum"
"67","Abstich"
"68","Abstieg"
"69","Abstinent"
"70","Abstinenzler"
"71","Abstoss"
"72","Abstrich"
"73","Absturz"
"74","Abt"
"75","Abteilungsleiter"
"76","Abtransport"
"77","Abtrieb"
"78","Abwart"
"79","Abweg"
"80","Abwehrkampf"
"81","Abwurf"
"82","Abzug"
"83","Abzweig"
"84","Achsenbruch"
"85","Achter"
"86","Achtersteven"
"87","Achtkampf"
"88","Achtungserfolg"
"89","Achtzylinder"
"90","Adel"
"91","Aderlass"
"92","Adler"
"93","Administrator"
"94","Adonis"
"95","Adressat"
"96","Adventssonntag"
"97","Adverbialsatz"
"98","Aeltestenrat"
"99","Aenderungsvorschlag"
"100","Aeon"
"101","Aerger"
"102","Aermel"
"103","Aermelkanal"
"104","Aesthetizismus"
"105","Aether"
"106","Aethylalkohol"
"107","Affe"
"108","After"
"109","Aggregatzustand"
"110","Aggressor"
