Freq,phon
563,a
6,as
21,&pbIlt
3,&pblEntlIxt
20,ab@ntbrot
45,ab@ntEs@n
2,ab@ntgYmnaziUm
10,ab@ntklWt
162,ab@ntl&nt
3,ab@ntmal
2,ab@ntprogr&m
4,ab@ntrot
132,ab@ntX@r
2,&pf&lprodUkt
3,&pfyrmIt@l
1,&pgab@zOl
4,&pg&Ns=XknIs
16,&pgas
63,&pg@Ordn@t@nhBs
3,&phENIxkW=fErhEltnIs
336,&pkOm@n
17,&pleb@n
3,&plENkUNsm&nTv@r
11,&plif@rUNszOl
1,&pnem@rl&nt
4,&pz&=g@bit
5,&pSlUsEksam@n
8,&pzW=
4,&pStWg@kv&rtir
4,&pStElglWs
4,&pStImUNsErgepnIs
6,&pstr&ktUm
21,&ptWl
22,&pv&s@r
19,&p=Wx@n
1,&p=ibIlt
3,&xtEk
14,&xt@l
1,&xt@rdEk
11,&ditif
2,&de
1,&dOptifkInt
2,&drEsbux
4,A
4,Ad@rx@n
3,Efx@n
7,Ekviv&lEnt
20,Erg@rnIs
2,Ermx@n
2,&erozol
2,Estx@n
9,Etylen
2,XklWn
15,Xs@r@
36,&gregat
2,a_io
1,@grim@nt
1,an@nbIlt
2,ai
4,Ar
1,&kOrdeOn
2,&kreditif
23,&kuz&tifOpjEkt
14,&kt@n=Wx@n
38,&k=i@nk&pital
28,&k=ionsprogr&m
64,&ktif
1,&l&rmg@rAt
6,&l&rmzIgnal
7,&lbUm
1,el
7,&l
1,&legrEto
8,&lWnzWn
5,&l@rhWlIg@n
17,&l@rlW
6,&lg@mWngut
8,&lhWlmIt@l
5,&lmoz@n
3,&lp@nfWlx@n
3,&lp@nforl&nt
57,&lfa
1,&ltarbIlt
2,&ltWz@n
3,&lt@nhWm
2,&lt@ntWl
314,&lt@r
1,&lt@rx@n
29,&lt@rshWm
1,&lt@rsjar
19,&lt@rsru@gElt
3,&lt@rsvErk
9,&lt@rtym@r
35,&lt@rtum
5,&ltp&pir
1,&ltv&s@r
16,amEn
2,&m@nmArx@n
4,&mfibiUm
701,&mt
49,&m=g@rIxt
5,&myz@mq
9,&mulEt
2,&nalogOn
10,&n&lf&bet@ntum
1,&nd&nt@
91,&ndENk@n
1,&nd@rth&lpf&x@
6,&nErbit@n
2,&nf&Nsg@h&lt
5,&nf&NsStadiUm
13,&nfyrUNs=Wx@n
1190,&ng@bot
1,&ng@dENk@n
3,&Nstg@fyl
11,&nhENz@l
45,&nlW@n
116,&nlig@n
5,&nmEld@fOrmular
9,&nrat@n
16,&nrExt
4,&nSrWb@n
138,&nze@n
4,&nzIn@n
3,&nzux@n
4,&ntibiotikUm
3,&ntigen
1,&ntikvariat
50,&ntlI=
1,&ntraksfOrmular
21,&nvez@n
120,&n=Wx@n
1,&n=Wg@nbl&t
1,&p&rt@
6,&p&rtm@nthBs
4,&+@lmus
8,&p&rt@mqhBs
2,&pEl&=ionsg@rIxt
1,&prIlvEt@r
5,&rabIS@
6,&ral
57,&rbW=&mt
9,&rbW=EntgElt
9,&rbW=ErgepnIs
9,&rbW=fElt
20,&rbW=g@rIxt
3,&rbW=hBs
2,&rbW=klima
4,&rbW=rExt
12,&rbW=fErhEltnIs
3,&rboretUm
44,&rxif
2,&rgOn
13,&rm&tur@nbrEt
4,&rmb&nt
6,&rmekor
6,&rm@nhBs
6,&rmu==XknIs
14,&roma
28,&rqZ@mq
1,&rSlOx
3,&rzen
37,ar=nWmIt@l
15,As
10,&zylrExt
112,&tom
3,&tomg@vIxt
40,&tomkr&ftvErk
8,&tom=Wt&lt@r
15,atriUm
3,&tEst
15,BditoriUm
57,Bfg@bot
6,BfgElt
7,Bfheb@n
6,BfklArUNsfluk=Xk
35,BfkOm@n
71,Bfze@n
152,Bftret@n
1810,Bg@
1,Bg@nglas
7,Bg@nlIxt
13,Bg@nlit
6,Bg@nmas
26,Bg@nmErk
6,Bg@n=vINk@rn
2,Bgur@nlAx@ln
5,Bsfluks=il
1,BsfurfErbot
3,BsgefErbot
2,BsglWxs&mt
4,BshEN@SIlt
10,BskOm@n
1,BskUnf=byro
644,Bsl&nt
1,Bsl&n=g@SprAx
196,Bsmas
2,BspUfror
3,Bsruf@=Wx@n
10,BsSWdUNsSpil
70,Bsze@n
8,Bs@n
175,Bs@nminIsteriUm
6,BsStElUNsg@lEnd@
1,BsStElUNsStYk
5,BsvWsp&pir
688,Bto
17,Btogr&m
3,Btokino
5,Btor@nkOlEktif
5,BtorEn@n
3,ave
2,&ksiom
1,&=tek@nrWx
461,be
79,bebi
2,b&kopst
3,b&kpUlf@r
926,bat
53,bad@=Im@r
3,bEkx@n
9,b&ntx@n
1,bENkx@n
1,bAr@nfEl
6,bXmx@n
6,b&jonEt
10,b&kteriUm
9,b&lqs@
1,b&lk
2,b&lk
51,b&lEt
9,b&lSpil
7,b&lUNsg@bit
1,b&lt@nl&nt
90,b&nt
