"","unique.ger_neut...1.."
"1","A"
"2","Aas"
"3","Abbild"
"4","Abblendlicht"
"5","Abendbrot"
"6","Abendessen"
"7","Abendgymnasium"
"8","Abendkleid"
"9","Abendland"
"10","Abendmahl"
"11","Abendprogramm"
"12","Abendrot"
"13","Abenteuer"
"14","Abfallprodukt"
"15","Abfuehrmittel"
"16","Abgabesoll"
"17","Abgangszeugnis"
"18","Abgas"
"19","Abgeordnetenhaus"
"20","Abhaengigkeitsverhaeltnis"
"21","Abkommen"
"22","Ableben"
"23","Ablenkungsmanoever"
"24","Ablieferungssoll"
"25","Abnehmerland"
"26","Absatzgebiet"
"27","Abschlussexamen"
"28","Abseits"
"29","Absteigequartier"
"30","Abstellgleis"
"31","Abstimmungsergebnis"
"32","Abstraktum"
"33","Abteil"
"34","Abwasser"
"35","Abzeichen"
"36","Abziehbild"
"37","Achteck"
"38","Achtel"
"39","Achterdeck"
"40","Additiv"
"41","Ade"
"42","Adoptivkind"
"43","Adressbuch"
"44","Ae"
"45","Aederchen"
"46","Aeffchen"
"47","Aequivalent"
"48","Aergernis"
"49","Aermchen"
"50","Aerosol"
"51","Aestchen"
"52","Aethylen"
"53","Aeuglein"
"54","Aeussere"
"55","Aggregat"
"56","Agio"
"57","Agreement"
"58","Ahnenbild"
"59","Ai"
"60","Air"
"61","Akkordeon"
"62","Akkreditiv"
"63","Akkusativobjekt"
"64","Aktenzeichen"
"65","Aktienkapital"
"66","Aktionsprogramm"
"67","Aktiv"
"68","Alarmgeraet"
"69","Alarmsignal"
"70","Album"
"71","Ale"
"72","All"
"73","Allegretto"
"74","Alleinsein"
"75","Allerheiligen"
"76","Allerlei"
"77","Allgemeingut"
"78","Allheilmittel"
"79","Almosen"
"80","Alpenveilchen"
"81","Alpenvorland"
"82","Alpha"
"83","Altarbild"
"84","Alteisen"
"85","Altenheim"
"86","Altenteil"
"87","Alter"
"88","Alterchen"
"89","Altersheim"
"90","Altersjahr"
"91","Altersruhegeld"
"92","Alterswerk"
"93","Altertuemer"
"94","Altertum"
"95","Altpapier"
"96","Altwasser"
"97","Amen"
"98","Ammenmaerchen"
"99","Amphibium"
"100","Amt"
"101","Amtsgericht"
"102","Amuesement"
"103","Amulett"
"104","Analogon"
"105","Analphabetentum"
"106","Andante"
"107","Andenken"
"108","Anderthalbfache"
"109","Anerbieten"
"110","Anfangsgehalt"
"111","Anfangsstadium"
"112","Anfuehrungszeichen"
"113","Angebot"
"114","Angedenken"
"115","Angstgefuehl"
"116","Anhaengsel"
"117","Anleihen"
"118","Anliegen"
"119","Anmeldeformular"
"120","Anraten"
"121","Anrecht"
"122","Anschreiben"
"123","Ansehen"
"124","Ansinnen"
"125","Ansuchen"
"126","Antibiotikum"
"127","Antigen"
"128","Antiquariat"
"129","Antlitz"
"130","Antragsformular"
"131","Anwesen"
"132","Anzeichen"
"133","Anzeigenblatt"
"134","Aparte"
"135","Apartmenthaus"
"136","Apfelmus"
"137","Appartementhaus"
"138","Appellationsgericht"
"139","Aprilwetter"
"140","Arabische"
"141","Aral"
"142","Arbeitsamt"
"143","Arbeitsentgelt"
"144","Arbeitsergebnis"
"145","Arbeitsfeld"
"146","Arbeitsgericht"
"147","Arbeitshaus"
"148","Arbeitsklima"
"149","Arbeitsrecht"
"150","Arbeitsverhaeltnis"
"151","Arboretum"
"152","Archiv"
"153","Argon"
"154","Armaturenbrett"
"155","Armband"
"156","Armeekorps"
"157","Armenhaus"
"158","Armutszeugnis"
"159","Aroma"
"160","Arrangement"
