phon,Freq
a,563
al,80
ar,2
as,6
asgW@r,2
&pEnd@rUN,17
&part,7
&pbB,87
&pb@rufUN,26
&pb@StElUN,1
&pbIlt,21
&pbIldUN,85
&pbIt@,2
&pblEntlIxt,3
&pbr&nt,1
&pbrUx,66
&pbrUx&rbWt,4
&pd&xUN,1
&pd&NkUN,2
&pdIxtUN,3
&pdrUk,16
ab@nt,790
ab@nt&n=uk,2
ab@ntbrot,20
ab@ntdEm@rUN,4
ab@ntEs@n,45
ab@ntgYmnaziUm,2
ab@ntklWt,10
ab@ntkUrs,3
ab@ntkUrzUs,3
ab@ntlEnd@r,52
ab@ntl&nt,162
ab@ntmal,3
ab@ntprogr&m,2
ab@ntrTt@,5
ab@ntrot,4
ab@ntX@r,132
ab@ntX@rIn,4
ab@ntX@rlUst,4
ab@ntXr@r,20
ab@rglBb@,15
ab@rglBb@n,11
&pErkEnUN,2
ab@rvI=,1
&pfart,57
&pfar==Wt,3
&pf&l,56
&pf&lWm@r,2
&pf&lprodUkt,2
&pf&sUN,7
&pfErtIgUN,28
&pfIndUN,10
&pfluk,26
&pflUs,6
&pfOlg@,32
&pfyrmIt@l,3
&pfyrUN,1
&pfur,20
&pgab@,120
&pgab@zOl,1
&pg&N,40
&pg&Ns=XknIs,4
&pgas,16
&pg@fWmthWt,1
&pg@klErthWt,1
&pgEltUN,2
&pg@Ordn@t@,609
&pg@Ordn@t@nhBs,63
&pg@z&nt@,25
&pg@z&N,1
&pg@Sid@nhWt,6
&pg@Sm&kthWt,1
&pg@vog@nhWt,1
&pgl&n=,10
&pgOt,2
&pgrEn=UN,31
&pgrUnt,64
&pgUs,6
&phENIxkWt,62
&phENIxkW=fErhEltnIs,3
&phErtUN,1
&ph&ltUN,10
&ph&ndlUN,21
&ph&N,9
&phIlf@,16
&phol@r,1
&bituriEnt,27
&bituriEntIn,2
&pk&ps@lUN,1
&pker,28
&pkLmlIN,8
&pkOm@,210
&pkOm@n,336
&pkYr=UN,26
&pkUnft,7
&plad@pl&=,2
&plad@r,5
&pladUN,1
&plag@,3
&plag@rUN,31
&pl&s,1
&plBf,217
&pleb@n,17
&pleg@r,6
&plenUN,166
&plWtUN,11
&plENkUN,19
&plENkUNsm&nTv@r,3
&plif@rUN,28
&plif@rUNszOl,11
&plTz@,16
&plTzUN,51
&pm&xUN,70
&pmag@rUN,1
&pm&rS,1
&pmEldUN,3
&pmEsUN,18
&pnam@,46
&pnem@r,52
&pnem@rl&nt,1
&pnWgUN,32
&pnOrmitAt,1
&pnY=UN,3
&pnU=UN,8
&bOnEnt,45
&pOrdnUN,55
&bOrt,4
&prBm,12
&br&ks&s,1
&prExnUN,50
&pred@,15
&prWz@,57
&prig@lUN,3
&prIs,13
&prYstUN,111
&prYstUNskOnferEn=,23
&pruf,9
&prUndUN,7
&pzag@,56
&pz&=,221
&pz&=g@bit,4
&pS&fUN,59
&pSX,21
&pSXlIxkWt,2
&pSibUN,2
&pSit,181
&pSi=b@zux,9
&pSi=brif,10
&pSIrmUN,2
&pSlak,37
&pSlaks=alUN,4
&pSlEpdinst,2
&pSlUs,580
&pSlUsEksam@n,5
&pSlUspryfUN,14
&pSnIt,226
&pSnyrUN,2
&pSL+UN,11
&pSrWbUN,182
&pSrIft,30
&pSUs,17
&pSUsr&mp@,8
&pSvAxUN,32
&pSvWfUN,6
&pSvUN,1
&pzWtIxkWt,1
&pzW=,8
&pzW=StElUN,1
&pzEnd@r,26
&pzEndUN,2
&pzE=UN,27
&pzIxt,427
&pzIx=ErklArUN,8
&pzoluthWt,5
&pzolu=ion,5
&pzolutIsmUs,4
&pzOlvEnt,34
&pzOlvirUN,6
&pzOnd@rlIxkWt,2
&pzOnd@rUN,2
&pzOrb@r,1
&pzOrp=ion,5
&pSp&ltUN,4
&pSpErhan,1
&pSpErkEt@,1
&pSpErUN,11
&pSplIt@rUN,1
&pSprax@,35
&pSprUN,6
&pSprUNhaf@n,1
&pSt&mUN,15
&pSt&nt,280
&pStEx@r,7
&pStWg@,1
&pStWg@kv&rtir,4
&pStWg@r,8
&pStElglWs,4
&pStElrBm,8
&pStElUN,3
&pStEmp@lUN,9
&pStIx,3
&pStik,33
&pStImUN,173
&pStImUNsErgepnIs,4
&pstinEnt,1
&pstinEn=,5
&pstinEn=l@r,2
&pStos,12
&pStosUN,1
&pstr&k=ion,59
&pstr&ktUm,6
&pStrIx,16
&pStufUN,12
&pstUr=,46
&pzUrditAt,11
&pt,79
&ptW,24
&ptWl,21
&ptWlUN,495
&ptWlUNslWt@r,64
&ptTnUN,2
&ptTtUN,2
&ptragUN,17
&ptr&nspOrt,16
&ptrWbUN,25
&ptrEnUN,6
&ptretUN,6
&ptrip,1
&pUrtWlUN,6
&pvAgUN,5
&pvErm@,2
&pval,9
&pv&nd@rUN,15
&pv&ndlUN,19
&pvart,3
&pv&s@r,22
&pvEkslUN,12
&pvek,6
&pver,160
&pverk&m+,6
&pvWxUN,52
&pvWzUN,4
&pvEndUN,11
&pvErbUN,2
&pvertUN,50
&pvez@nd@,3
&pvez@nhWt,58
&pvIklUN,40
&pvUrf,17
&p=alUN,4
&p=Wx@n,19
&p=ibIlt,1
&p=uk,203
&p=vWk,1
&p=vWgUN,7
&ks@,58
&ks@l,30
&ks@lhTl@,6
&ks@lkl&p@,1
&ks@nbrUx,2
&xt,12
&xtEk,3
&xt@l,14
&xt@r,26
&xt@rdEk,1
&xt@rStev@n,2
&xtk&m+,1
&xtlozIxkWt,2
&xtzamkWt,1
&xtUN,122
&xtUNsErfOlk,1
&x=Ix,2
&xt=ylInd@r,2
&dirm&Sin@,2
&di=ion,9
&ditif,11
&de,2
ad@l,84
ad@lUN,1
ad@r,30
ad@rl&s,5
adl@r,42
adlIg@,10
&tminIstr&=ion,15
&tminIstratOr,1
&tmir&litAt,1
&donIs,1
&dOp=ion,6
&dOptifkInt,1
&drEsat,12
&drEsbux,2
&drEs@,179
&drEsirm&Sin@,1
&tvEn=zOntak,3
&tvErbialz&=,12
A,4
